GPA,study_hours_per_day,class_attendance_percent,sleep_hours,screen_time_hours,social_media_hours,gaming_hours,exercise_hours_per_week,exam_preparation_days,extracurricular_hours_per_week,final_exam_score,assignment_score
3.77,4.9,95,6.6,4.1,1.2,1.4,4.7,13,3.7,100,98
2.91,2.3,79,6.2,6.9,4.5,1,2.7,10,5.2,86,94
3.03,1.5,83,6.1,6,2.7,1.7,2.9,13,3.2,100,87
3.11,0.7,73,6.4,6,2.2,0,5,14,2.4,88,82
3.73,4.3,94,5.4,5.7,2.4,2.6,6.3,12,3.6,100,100
3.33,1.8,86,6.1,5.9,2.4,3.8,0.5,13,3.3,100,95
2.75,0.5,77,9.3,6.5,3.6,1.3,8,12,3.2,81,82
3.86,4.1,100,7.9,3.6,1.1,1.6,0.4,8,6.1,100,100
4,7.2,100,8.1,6.4,2.8,1.1,2.1,5,1.5,100,90
3.25,3.5,89,8.4,6.1,3.2,2.2,3.1,12,4.1,92,81
4,4.8,100,9.2,6.3,3.4,2.6,3.3,8,0.8,100,99
3.76,3.6,96,4.9,6.6,3.1,0,6.9,17,4.8,99,92
3.81,3.4,99,5.5,5.4,3.6,0.9,5,6,5,100,96
3.7,4.9,98,6,6.6,1.9,0.3,3.8,10,5.6,100,100
3.52,3.1,89,6.4,4.1,1.4,3.3,5.1,13,2.8,100,87
3.3,3.9,95,6.6,9.6,6.5,1.5,3.7,18,2.8,98,83
3.59,4,100,6.5,5.2,2.3,1.1,1.6,10,3.5,99,92
2.8,2.5,83,7.3,6.3,2.5,2.3,4,13,6.2,82,98
4,5,96,7,7.2,3.8,1,3.1,15,3.3,100,100
3.61,3.2,81,6.1,8.1,5.2,0.7,1.3,16,4.2,99,92
2.51,2.4,82,4.4,6.7,2,0,5.5,14,2.8,91,84
3.67,4.3,92,5.8,1,1.3,3.2,2.9,21,7.5,100,90
3.54,2.2,90,6.3,5.4,0.9,2,0.8,10,1.5,100,83
3.24,3.5,74,6.7,9.3,5.2,0.9,1.1,21,2.8,89,86
3.69,3.5,87,5.6,2,1.2,4.5,4.1,15,5.1,89,97
3.98,5.1,100,6.4,6.9,2.8,2.3,5.1,13,4.1,100,100
4,4.2,91,5.6,5.6,1.3,0.6,4,14,2.1,100,100
3.61,3.5,94,6.8,4.3,0.6,4,4,17,6.5,100,88
4,4.7,98,5.7,3.5,2.4,1.3,1.4,8,1.9,100,92
4,5.6,100,6,5.2,1.4,1,3.2,13,3.7,100,97
3.7,4.3,87,5.4,6,1.8,1.4,2.3,11,6.8,100,89
4,3.5,88,6.8,8.1,5.8,2.1,2.6,20,4.3,100,97
2.97,1.5,68,6,6.9,3.4,1,2.8,9,4.6,85,71
3.18,1.9,73,8.1,6.8,4.2,3.9,1.7,22,6.2,98,82
3.28,3,81,7.5,8.1,4,1.2,4.5,10,3.4,93,97
3.36,2.6,86,6.9,5.2,2.6,1,1,5,5.3,90,91
4,3.2,100,6,4.4,2.1,0.1,0.4,8,6.4,100,100
4,3.6,100,7.5,6.2,3.2,1.7,1.4,8,4.8,99,100
3.89,4.3,96,7.8,4.5,3.1,0,4.8,20,5.3,100,98
4,3.4,92,7.2,4.7,1.9,0.2,3.7,5,2.6,100,100
4,4.2,100,8.9,6.4,3,2,0,14,3.3,100,100
4,3.6,97,7.6,5.7,1.7,1.7,4.2,19,5.9,100,100
3.02,0.5,70,8.1,5.8,2.5,1.9,2.9,26,7.4,85,74
3.35,2.1,90,7.2,3.6,2.3,1.4,2.2,11,5,100,99
4,3.3,100,7.8,5.5,0.9,0.6,2.5,13,5.6,100,90
3.26,1.7,92,6,4.7,0,0,0.3,6,3.3,78,87
4,4.4,100,6.4,4.5,1.4,1.6,3.3,10,4.7,100,98
4,5.8,100,7.4,7.6,5.5,0,0.5,23,3.5,100,100
4,5.3,99,7.4,4.7,2.3,0,2.3,16,2.8,100,100
3.33,3.2,74,7.6,6.8,4,2,2.3,18,3,96,99
4,5.7,100,8.3,3.3,0,2.1,4.5,15,4.8,100,100
3.19,3.7,92,5.3,3.9,1.3,2.2,3.1,17,0.7,94,89
3.92,3,95,5.8,2.8,0.8,0.7,4.4,22,1.4,100,100
3.53,2.6,95,7.3,6.7,2.5,1.1,0.6,10,2.5,97,88
2.87,3,82,6.1,9.7,6.4,1.7,2.8,16,4.2,89,85
3.61,2.9,88,10,5.2,3.5,1.6,4.1,9,2.8,98,94
3.75,3.8,96,7.6,8.6,5.3,1.5,5.5,2,8.8,100,98
3.55,3.7,85,6.9,5.6,2.4,0.2,0.7,13,1.3,100,100
3.3,3.5,79,6.4,6.9,4.8,0.7,1.3,13,2.3,85,100
4,4.2,95,6.4,10.3,5.9,2,4,12,0.3,100,100
3.98,5.3,96,7,5.8,2.6,2.3,6.2,9,6,100,98
3.71,4.9,98,7.1,4.7,2,1.8,3.6,13,2.1,100,95
2.99,1.3,73,6.5,3.7,0.8,1.8,0.8,14,2,84,81
2.79,0.5,74,6.7,5.8,2.3,4.2,0.8,22,4.7,81,74
4,4.9,100,8.6,5.8,2.9,3.3,3.3,15,5.9,100,100
2.95,1.4,81,8.7,8.7,5.8,0.9,3.7,15,0.4,89,91
3.46,3.2,91,7.3,5.2,0.9,4,2.6,8,6.8,100,89
3.23,1.7,76,5.4,4.2,2.9,2.6,0.8,7,4,86,97
3.34,0.8,86,7.6,1.6,0.1,3.7,5.2,7,8.6,86,95
4,4.3,99,8.9,6.1,2.2,2.4,2.3,11,2.6,100,100
3.98,4.6,95,8.6,9.2,3.3,0.6,4.1,12,6.5,100,99
2.96,2.6,82,7.9,7.7,3.6,2.3,0,13,4.5,89,88
2.58,0.5,69,8.7,8.9,3.7,1,5.4,8,2.6,72,71
2.89,2.7,87,7.1,5.9,3.4,2.6,1.6,1,3.9,100,83
3.23,4.1,97,7.8,5.9,3.7,0,5.7,10,4.7,100,77
3,1.3,74,6.2,6.4,2.9,2,4.2,17,2.5,75,81
4,3.8,93,7.4,5.3,1.2,2,0.1,10,2.4,100,100
4,3.5,94,8.6,1.4,0,3,3.5,12,5,100,100
4,4.4,100,6.3,4.7,2,2.8,6.3,4,4.5,100,100
3.93,3.7,95,6,5.6,2.6,1,1.8,13,2.4,100,86
2.9,2,75,7.1,6.9,4.7,0.8,6.3,14,1.7,89,90
4,5.3,100,6.7,4.9,2.6,0.7,3.8,9,0,100,93
3.47,3.3,100,7.8,6.5,2.5,1.2,5.7,17,3,100,90
3.48,3.5,90,6.5,7,3.4,1.2,3.3,18,3.4,100,84
3.8,2.1,88,9.1,6.4,2.4,2.8,2.8,23,5.8,100,98
3.32,2.8,95,5.5,7.4,4,0,6.7,7,6.1,94,98
3.33,2.2,89,8.5,7.8,5.8,0,4.4,13,6.4,97,98
3.53,3.2,77,6.1,9.6,6.1,0,2.5,6,3.8,96,99
4,6.1,100,4.8,4.8,2.9,1.3,3.8,15,2.3,100,97
2.68,1.4,76,7.3,5.9,3.3,2.3,1.9,14,6.7,83,78
2.93,1.1,62,6.7,7,5.2,2,3.2,2,1.9,89,93
4,5.7,100,5.7,4.9,2.6,0.2,5.4,13,1.1,100,100
2.98,3.2,79,5,6.9,3.8,2.7,2.7,11,1.8,85,89
3.94,2.5,85,7,3.6,1.1,3,1.3,6,3.3,98,89
4,5.1,100,8.2,4.2,2.3,2.5,1.1,11,2.5,100,94
3.54,2.6,100,7.7,8.9,4.5,0.9,3.1,22,3.3,94,100
4,6.2,100,7.1,4.6,1.7,1.5,1.4,15,6.9,100,100
4,4.5,97,7.6,5,2.6,2.8,0.1,8,2.3,100,97
3.94,2.8,90,7,2.1,0.4,1.4,0.6,10,1.6,100,94
4,6.7,100,5.3,6.6,5.8,1.7,5.4,2,2.1,100,100
3.3,2.6,79,5.3,7.4,4.7,2,2.7,7,3.5,96,79
4,4.6,94,6.8,4.4,3.1,1.3,3.1,20,3.4,100,88
3.61,3.9,99,6.8,7.5,3.6,0.9,1.1,17,2.5,81,100
4,5.5,100,8,6.4,3.4,2,1.8,14,2.2,100,95
3.58,5.8,94,7.9,9.8,4.9,2.4,1.8,14,3.4,100,94
4,3.5,90,7.7,5.3,2,0,2.4,19,0,100,96
3.33,2.4,86,6.7,6,3.9,1.5,0,14,4.2,85,82
3.22,4.2,81,5.3,5.1,4.4,0.3,5.2,11,2.3,100,89
3.14,2.5,82,7.5,8.6,4.6,1.5,3,12,4.9,94,91
4,6.5,100,7.6,1.4,0,3.2,3.4,11,0.4,100,100
3.92,3.7,95,4.1,4.4,1.9,2.2,4.8,11,5.1,100,100
3.66,3,95,6,6.3,1.3,1.3,4.7,20,2.1,96,87
3.79,3.8,99,6.2,6.7,3,4.2,1.8,7,4.5,100,96
3.88,1.5,87,7.1,3.5,0,0,4.2,9,3.1,97,86
3.57,2,83,6,4.1,0,0.8,4.2,3,3,94,90
3.77,5.3,100,7,10.2,6.1,1.7,3.6,17,3.5,100,91
3.3,2.5,80,6.7,8.6,3.7,0.2,5.1,14,1.6,97,99
2.93,1.9,80,6.8,5.3,3,0,4.6,21,3.9,82,81
3.58,4.3,82,6.1,5.8,3.3,2.8,4.5,9,4.7,100,86
3.77,5.3,100,6.2,4.9,3,3.6,5.7,8,3.9,100,99
3.48,4.6,96,5.7,7.3,4.3,0.7,3.1,6,0.6,100,91
4,5,100,7.5,4.7,1.9,4.5,3.1,14,1.1,100,100
3.29,2.4,93,7.7,4,3.1,0,4.6,10,3.9,100,91
2.92,1.4,72,6.1,5.3,3.1,1.7,2.6,14,3.8,88,84
4,5.8,100,8.8,5.9,1.2,0,4,10,7.1,100,100
3.52,3,80,6.6,8,4.7,1.5,1.9,19,3.6,100,86
3.87,3.1,97,8.8,6,2.1,1.6,0,18,7.9,93,100
4,5.5,100,6.2,7.2,4.3,1.4,4.2,12,3,100,100
3.4,4.3,75,4.6,3.7,3,0,0,17,3.7,100,88
3.48,4.2,90,7.5,8.1,5.3,1.7,1.6,11,3.8,100,99
4,6.7,100,7.3,5.5,1.2,1.5,4.6,12,3.3,100,100
3.35,2.5,72,7,2.8,1.2,1.8,4.7,1,5.5,96,82
4,4.9,100,6.2,5.3,1.4,0,5.4,15,4.5,100,83
3.61,3.6,90,7,4,3,3.3,0,12,5.2,100,95
3.58,3.9,86,6.4,8.1,5.1,0.6,3.6,16,2.9,100,97
3.82,5.8,95,6.6,8.9,5.2,2,2.5,16,4.6,100,97
4,4.3,100,8,2.6,0,2.2,5,8,2.8,100,100
4,4.3,89,7.2,9.2,3.2,2.2,6,11,2.4,100,100
4,5.1,100,7.7,2.4,0,0.1,0.4,10,5.3,100,93
3.15,3,85,6.7,6.3,4,0,3,17,5.4,87,78
3.42,2.2,88,6.6,7.7,4.5,3.7,4.7,20,7.5,96,86
2.47,1.9,82,5.6,4.8,2.7,3,2.3,16,4,78,83
3.4,0.6,77,6.6,4.2,2.9,3.7,6.5,22,5.2,100,96
4,6.6,100,3.5,4.6,2.9,1.5,2.2,15,1.8,100,96
3.33,1.8,86,6.3,5.5,1.6,2.6,2.4,7,4.5,100,82
3.31,3.2,81,6.9,6,3.4,0.3,0.9,5,3.3,99,75
3.97,3.1,88,7.7,7.5,2.5,2,3.3,7,2.4,100,100
3.47,4,86,6.7,6.7,4.2,1.5,0,10,2.8,92,87
4,4.7,100,7.4,6.5,2.6,1.9,2.5,9,3.8,100,100
4,4.8,96,4.4,5.1,1.5,1.5,5.5,12,5.7,100,100
3.78,2.6,83,6.9,3,0.5,2.8,0.2,11,6,94,99
3.83,3.2,100,5,1.9,0,0.3,0,12,5.4,100,93
3.46,3.9,97,5.6,5.7,4.8,1,5.2,24,7.9,100,87
4,3.1,93,6.8,5.8,2.1,1.6,5.5,16,6.2,100,92
4,5.9,100,8.5,7.7,3.3,2.5,0.3,13,4.8,100,100
3.76,4.2,94,7.4,6.6,5.5,2.2,6.5,17,5.5,100,94
3.59,4.6,97,7,4.6,2,3.2,3.9,8,4.1,100,100
4,4.5,100,7,4.1,1.9,3.7,5.1,8,4,100,99
3.91,5.3,95,6.1,6.3,2.6,2.4,1.4,17,2.2,100,100
3.78,3.8,99,6.3,5.4,2.8,1.8,6,12,5.7,100,96
2.83,1.6,80,7.5,10.2,5.6,0,2.5,13,3.6,81,96
3.45,4.1,96,5.3,7.6,5.1,0,2.4,6,3.8,100,88
3.79,2.5,87,7.7,5.2,3.7,0,4,10,4.1,100,97
2.74,2.7,79,6.5,7.4,5,0.2,2.2,10,5.1,84,84
4,4.4,100,8,5.1,2.5,2.3,0,10,1.8,100,100
4,5.4,100,8.2,6.8,3.2,0,3.3,23,3,100,96
3.67,3.5,96,5,4.9,2.3,3.3,2.4,23,2,100,100
3.77,4,99,6.3,4.4,0.9,1.5,1.5,18,2.7,100,100
4,6.1,100,6,6.7,4.6,0,5.5,12,3.7,100,92
3.53,3.9,92,4.8,6.2,3.6,3.5,7.8,9,1.9,98,97
4,7.4,100,5.8,4.9,2.8,3.2,1.2,7,3.3,100,87
4,4.3,94,9.9,4.8,2.8,2.7,3.4,14,3.3,100,100
3.12,0.9,70,7.7,5,0.5,1.6,2.2,18,2.3,79,84
4,4.6,100,9.3,3.4,1.3,2.3,7.6,16,5.5,96,100
3.85,4.1,100,8,5.9,3.3,0,4,13,5.5,100,100
4,5.4,100,6.1,6.3,2,0.6,4.9,15,5.7,100,93
4,4.5,88,6.5,6.4,2.5,0.7,5.4,12,0,100,100
3.78,3.3,100,7.7,7.6,2.6,0,3.3,11,5.9,98,95
2.79,1.7,71,7.5,5.4,1.8,1.3,2.6,7,3.9,81,73
3.29,3.2,96,6.3,3.6,1.3,1.9,6,10,1.6,95,85
3.2,2.2,79,5.2,5.9,0.4,0.3,4.6,14,8.4,85,92
4,2.6,100,10,6.3,2.6,1.2,1.3,10,2.2,100,100
3.72,4.4,93,6.8,6.5,3.7,0.8,1.6,6,1.7,100,93
4,6,100,6.6,3.4,0.3,0,2.2,13,5.9,100,100
4,4.1,97,7.1,6,2.8,2.2,5.3,14,2.9,95,100
2.51,1.7,72,6.7,5.9,3.2,2.7,5.9,10,4.6,66,86
4,4.2,100,7.1,2.6,1.3,2.6,7.3,12,2.2,100,94
4,5.3,100,8.5,9.9,4.9,1.5,1.6,1,0.4,100,100
3.76,2.6,83,6.9,5.2,2.2,0.2,3.3,16,6.2,97,100
3.51,3.3,81,5.6,5.8,2.6,1,2.2,13,6.5,100,90
3.86,3.5,84,6.8,8.1,2.6,2.6,2.6,19,5.4,100,88
3.82,2.3,84,6.4,2.3,0.1,2,4.9,11,5.6,90,84
4,4.5,100,8.7,8.1,4.3,0,2.9,16,0.5,98,99
3.75,3.3,96,8.4,3.4,1.4,1.7,5.6,18,5,100,100
3.96,4.1,100,7.1,5.8,2.4,1.5,2,12,1.6,100,90
2.75,2.2,67,5.5,6.9,3.7,1.1,4.5,14,6.3,68,79
3.12,2.8,65,5.5,8.9,5,1.5,2.1,13,7.3,79,79
4,4.6,96,7,5.6,1.2,0.4,0,4,2.8,100,89
3.31,2.9,96,7.4,4.4,2.1,2.7,1,14,4.5,100,93
4,6.1,100,6.6,9.6,4.9,1.8,3.2,7,5,100,100
4,2.9,93,6.4,8.3,3.5,2.9,6.8,8,3.9,93,99
3.48,3.8,100,6.3,6.5,3.8,0,2.1,15,3,93,88
3.87,4.9,98,7,4.2,1.2,1.6,2.7,18,4.9,100,100
2.56,1.4,80,4.1,4.6,2.2,3.8,4,16,2.1,78,73
2.44,0.9,84,5.7,5.1,2.5,0.7,1.8,15,4,80,85
3.29,1.2,86,6.2,3.1,1.5,2.9,2,14,6.3,94,84
4,5.4,100,8.4,4.2,0.3,1.7,3.1,16,3.7,100,100
3.2,2.7,72,6,2.5,2,2.9,2.1,20,6.2,97,99
4,7.3,100,7.2,7,4.8,0.9,0,9,8.3,100,90
3.27,2.7,84,7.3,5.8,2.9,3.2,1.7,9,1.4,87,83
4,3.8,100,8.6,9.5,4.9,2.2,4.2,16,3.5,100,98
4,5.8,100,8.5,5.4,3.1,0.3,4.3,3,2,100,98
4,6.5,100,6.9,5.2,1.7,2.6,5.7,12,3.9,100,95
4,6.6,100,6.4,7.6,4.7,3,5.5,13,4.3,100,100
3.96,5.3,100,6.2,7.2,3.1,3.2,1.2,9,2.1,100,100
4,5,96,6.7,7.7,4.2,0,1.5,2,3.9,100,100
4,4.4,100,6.5,5.2,1.2,1.8,1.6,19,3.9,100,100
4,4.7,97,7.7,6.7,4.4,4.4,2.7,9,1.6,100,99
3.06,2.7,67,7.5,6.2,4.4,1.9,1.8,9,5.8,91,94
3.32,2.3,89,7.7,6.6,3.2,0,2.7,19,3.5,100,92
3.93,3.5,100,8.5,4,1.6,2.3,1.3,1,0.7,100,88
3.95,3.2,89,9.2,5.7,2.7,2.7,4.6,20,9.6,100,94
3.81,2.8,93,7.1,7.1,3.7,3.3,1.1,23,0,100,94
4,4.5,97,8.3,7.7,3.2,0.7,1,8,4.2,100,90
4,4.9,89,6.6,7.6,3.7,0,4,10,6.8,100,100
3.56,3.6,89,8.4,6.5,4.3,3,4.4,14,3.2,100,93
4,5.7,100,8.3,3.4,1.8,1.4,2.5,13,2.4,100,84
3.48,1.8,76,8.2,6.1,1.1,1.2,4.7,17,2.2,84,75
3.7,3.2,100,7.1,3.8,2.7,0.4,4.6,14,4.6,100,84
3.1,2.4,72,6.2,4.8,2.3,1.9,6.8,16,4.7,92,86
2.44,0.7,63,5.3,7.8,4,0.7,4.5,29,7.7,87,81
4,3.4,88,7,6.2,1.2,0,6.4,4,6.9,100,100
3.33,3.3,100,8.8,7.1,4.3,0.6,3.1,19,5.4,100,94
4,5.8,92,6.6,7.8,4.8,0.6,5.8,19,1.9,100,91
4,4.4,100,7.9,4.7,2.8,0,5.8,7,0.9,100,89
3.29,2,86,8,6.1,2.9,1.2,2.7,8,1.7,98,100
4,6.3,100,6.7,3.2,1.6,0.1,1.6,15,4,100,100
4,5.3,100,8.6,4.1,2,1.2,2,6,5.2,100,100
3.65,4.4,92,3.5,6.1,2.2,2.1,3.8,9,4.5,96,100
3.55,3.2,88,5.5,7.5,5,2.3,0.7,13,2.3,93,95
3.48,2.1,76,5.9,6.8,2.7,0,2.1,9,8.4,88,91
4,2.9,96,6,3.6,0.8,2.7,5.4,11,4.1,100,100
4,5.1,100,7.4,4.6,3.2,3.7,4.3,8,6.8,100,100
4,6.3,100,7.3,8.4,4,2.2,0,7,6.5,100,100
4,5.8,100,7.5,4.2,2.8,3.6,0.3,14,6.3,100,91
3.43,2.8,83,7.7,7.3,5,2,7.3,11,3.1,100,95
2.6,1.8,77,5.9,6.8,4,1.4,5.4,13,2.9,85,84
3.36,3.7,95,5.5,5.4,1.2,0.8,1.8,16,3.2,96,96
2.87,0.8,76,7.5,4.4,2,2.4,0,13,8.9,76,79
3.86,4,100,6.2,5,3.1,0,0.5,10,2.4,100,92
3.57,3.3,97,5.1,3.5,0.3,2.3,4,8,2.5,100,86
3.73,2.8,95,8.2,6,3.3,3.6,7,14,1.7,100,97
3.45,1.1,87,8.7,2.6,0.2,2.1,6.8,22,3.2,87,89
3.53,4.3,100,8.9,7.6,4.3,0,0,16,4.6,100,97
3.67,2.7,86,7.2,5.8,4.2,1.1,2.4,4,6.1,100,96
3.59,1.7,95,7.8,4.5,3.6,2.7,1.3,2,3.8,95,98
3.51,0.5,77,8.6,7.4,1.8,1,3.3,8,1.7,92,91
3.9,3.5,97,6.2,6.2,3.1,2.4,0.3,4,1.1,100,97
4,6.2,100,8.3,5.2,2,0,1.9,6,4,100,97
4,6,100,7.3,3.4,1.3,0,1.3,1,2.4,100,100
3.96,2.8,89,8.1,6.4,2.3,1.5,4,13,4,100,96
3.27,2.6,79,7.2,6.2,3.8,0,2,6,0.6,90,80
4,4.2,97,8.6,2.6,2.9,3.1,2.3,6,6.2,100,100
3.02,2,82,7.3,7.3,5,0.5,4,9,6.8,87,86
3.68,4,100,5.2,6.6,3.9,2,6.3,9,5,100,88
4,4.6,100,8.7,6.6,3.8,3.1,7.2,11,3.5,100,91
4,5.3,100,5.9,3.2,0.4,1.6,3.9,5,5.7,100,91
3.79,3.3,93,8.5,4.6,2.4,0.4,2.8,17,3.5,100,89
3.7,3.2,93,6.9,3.3,1.2,0.6,5.6,13,4.9,100,100
3.63,2.2,76,8.4,5.1,2.5,1.9,5.3,14,2.9,100,100
3.82,2.3,86,8.4,2.8,1.8,0.4,4.8,10,5.2,100,95
3.7,3.2,89,7.5,2.9,2.2,1.3,0,17,3.3,100,98
4,4.1,100,7.6,7.5,4.4,1.6,5.4,14,2.4,100,100
3.92,4.9,100,7.5,6.6,3.5,1,3.7,13,2.5,100,97
2.57,2.3,68,4.6,8.4,4.3,0,1.2,17,2.6,81,89
4,5.7,100,7.1,3.1,0.4,1.9,1.7,4,2.7,100,91
2.96,3.1,77,5.7,4.5,2.9,2.2,4.2,13,4,100,88
4,3.5,100,7.2,5,4.3,0.3,0,9,5.5,91,100
3.2,2.4,67,5.6,7,5.1,1.9,2.7,8,1.2,99,80
3.23,0.5,87,5.6,4,0.5,0.8,1.7,16,0,100,98
4,4.8,100,8.9,7,2.3,0,1.5,19,3.1,100,93
4,4.6,98,8.3,7.5,4.4,0.8,2.1,18,3.5,100,100
3.47,3.1,82,7,4,2.5,0,0,12,4.5,86,90
4,3.6,100,7.2,3.3,1.4,1.7,5.1,10,6,100,91
4,4.3,100,6.7,2.5,0.5,2.5,0,18,4.3,99,100
2.89,1.2,88,7.7,3.9,1.4,5.2,3.3,7,5.9,62,88
3.52,2.7,89,6.2,4.6,0.3,3.3,1.3,20,4.1,100,100
4,4.7,100,8.2,7.3,2.9,3.1,7,10,0.2,100,89
3.24,1.6,88,6.7,6.9,4.1,0,3,12,3.2,100,88
4,3.9,100,6.5,4.1,0.9,1.9,0,9,3.5,100,97
2.64,1.5,70,7,5.2,3.2,2.1,4.1,12,3.7,78,83
3.15,4.2,98,6.3,5,4.1,0.8,0.8,7,5.7,99,89
3.85,3.4,99,7.4,7.9,2.8,0,5,10,4.9,100,88
3.06,1.1,93,6.4,1,0.4,2.1,4.2,13,4.6,80,87
4,5.2,100,7.6,4.2,3.4,0,5.9,11,3.8,100,100
3.4,2.4,97,8.5,7.9,2.7,1.1,3.4,1,4.2,100,96
2.96,2.3,88,6.1,5.6,2.6,2.2,4.6,24,3.1,80,93
4,3.8,85,6.8,3.6,2,1.9,3.1,20,3.3,95,86
4,5.2,100,7.6,6.7,2.9,1.9,1.8,6,0.2,100,94
3.41,2,81,6.5,7.5,3.6,1.2,5.1,9,6.2,100,83
2.93,3.6,100,7.6,7.8,6.4,0.5,0.5,11,3.7,93,85
3.91,4.1,87,7.7,5.4,3,0.8,2.9,15,5.3,100,100
3.5,4.5,89,8.3,9.2,5.1,0,1.9,14,1.2,100,89
3.83,3.8,98,6.3,5.3,3.3,0,4.7,7,2.4,100,91
3.37,2.9,99,5.9,6,2.7,2.5,1.1,24,2.5,97,90
3.06,2.3,82,6.6,7.7,3,1.4,2.2,10,7.4,88,79
3.56,3.6,94,5.8,1.1,1,3.1,3.1,21,4.6,100,83
3.49,1.9,84,7.7,5.9,3.3,1,6,9,5.1,100,93
2.6,0.5,71,5.6,3.3,0,4.1,1.9,17,3.6,66,84
4,4.2,100,9.8,2.3,1.5,1.3,2.2,14,3,100,97
4,4.9,100,8.6,5.4,3,3.2,0.3,8,6.1,100,100
2.78,0.5,74,7,8.9,4.6,2.7,1,15,3,80,73
3.47,2,70,8,7.1,4.9,2.2,3.8,13,7.8,88,83
3.79,4.4,100,5,3.6,2.4,3.3,3.1,17,9,100,94
4,6.6,100,10,7.4,3,3.2,3.1,8,0,100,100
3.36,3.5,80,6.3,7.8,4.3,1.2,6.5,12,5.3,100,88
3.83,2.4,100,6.9,3.7,0.8,1.3,0,16,4.8,100,100
3.21,3.2,86,4.8,6.3,3.4,2.1,7.6,3,1.9,100,83
4,5.6,100,7.6,5.8,1.6,3.6,5.4,6,1.4,100,85
3.07,2.5,74,5.7,5.9,2.5,2.2,2.3,12,4.4,100,79
3.57,2.3,83,7.1,5.9,2.1,3.6,3.8,13,1.4,100,95
2.9,2.8,88,6.3,5.7,3.5,2,1.6,12,4.4,100,82
3.15,2.1,83,5.7,4.3,3.6,0.6,3.6,16,5.4,80,85
3.44,3.7,92,6,7.8,4.1,0,7.3,11,7.9,100,84
4,5.9,95,7.3,7.6,3.3,2.3,1.7,17,4.4,100,97
3.59,4,94,5.5,5.8,3.1,0.8,2.5,14,4.4,99,100
3.48,3.1,85,6.1,9.7,5.6,2.5,1.5,6,5.3,92,80
4,3.1,99,7.8,3.1,0.5,1.8,1.8,13,2.8,100,98
3.18,1.2,78,10,8.2,5.3,0.9,2.2,12,4.2,90,87
4,4.8,94,7.6,7.5,2.4,0.3,0.8,9,5.6,100,94
3.58,3.4,81,5.9,6.4,3.7,0.9,2.5,4,3.4,100,78
3.74,3.2,100,6.6,4.9,2.3,0.1,3.1,6,5.4,100,100
4,8.3,100,7,2.5,1.7,0.3,2.2,8,4.9,100,96
3.33,3.9,88,6.6,7.3,3.5,0,0,17,2.9,100,87
3.63,2.4,82,8.1,6.5,4.4,0,2.7,10,5.8,92,97
3.47,2.9,78,7.3,6.7,3.5,1.7,2.9,18,4.2,85,85
4,5.2,100,8.1,4.6,2,4.1,6.8,7,4.7,100,99
3.52,3.7,73,6.6,10.5,8,1.8,3.1,8,4.8,86,92
3.41,1.3,86,8.6,7.5,4.6,1.8,4.9,9,5.5,100,100
3.71,4.9,89,6.8,7.2,4.2,3,2.1,11,3.2,100,95
3.46,2.5,82,5.8,6.7,2.3,1.7,5.6,13,2.7,91,94
4,6.3,100,9.6,6.7,1.9,1.7,1.1,15,4,100,84
3.62,5.1,100,4.8,6.2,2.4,0,4,18,2.9,100,100
3.12,2.8,81,6.1,8.9,4.4,1.5,4.7,1,0,80,83
3.69,5.4,100,6.2,5.3,1.3,0.7,4.4,22,0.7,100,100
4,3.6,100,10,4.8,1.2,1.3,7.3,7,5.4,97,100
4,4.8,100,9.2,8.3,3.6,0.8,1.8,13,3.7,100,99
4,4.2,99,8.8,4.7,3.3,0.8,5.8,17,3.1,100,96
2.82,2.2,71,6.6,3.8,1.6,1.2,5.3,15,4.3,99,81
3.64,2.5,96,9.9,3.2,1.2,1.7,3.1,18,5.6,100,99
4,5,100,7.4,7.6,5,0.3,6.7,17,4.7,100,99
3.63,3,80,8.2,7.1,3.3,1.1,2.7,14,6.9,93,92
4,2.9,87,7.2,2.5,0.8,1.4,3,16,0.1,100,98
3.63,2.1,87,6.9,4.5,0.9,1.7,3,6,5.2,100,86
3.64,4.1,100,6.7,4.6,2.3,3,0.5,8,5.1,100,96
4,6.6,100,6.7,6.5,3.9,2.9,4.5,7,3.9,100,100
3.15,1.9,73,7.7,6.9,3.7,2.9,4.2,1,6.2,100,77
3.64,3.5,91,7.4,9.5,4.5,2.5,2.8,7,4.3,100,88
4,5.6,100,7,2.7,0.6,5.1,6.5,7,3,100,100
3.52,3.4,94,8.8,6,3.1,1.7,2.1,7,5.9,97,100
3.43,4.2,100,3.5,6.6,4.9,0.2,0,15,0.7,89,80
2.81,1.9,79,7.6,6.9,4.8,3.9,6.8,8,5.4,79,95
3.95,4.1,100,7.9,5,3.3,1.7,5,16,4.8,100,100
3.72,3.2,77,8.4,9.6,6.3,3.7,4.3,4,5,95,100
4,5,95,6.9,7.2,3.7,1.3,2.3,9,4.8,100,94
3.68,5.3,96,7.2,8.2,4.4,3.6,3.7,10,8.5,100,100
4,7.4,100,8.2,5,2.9,4.7,0.5,18,3.5,100,100
4,4.4,91,8.8,5.2,1.6,0,2.5,12,4.9,100,97
4,4,100,6.6,4.6,1.5,0.4,1.2,13,8.8,100,98
3.71,3.8,98,7.3,6,3.1,2.5,3.5,7,2.2,100,96
